package_name,total_tags,unique_tags
jcc@0.1.7,65,"Security.Backdoor.DataExfiltration.Hostname, Security.Backdoor.LOLBAS.Windows, Security.Backdoor.Obfuscation.LongStrings, Security.Backdoor.LOLBAS.Linux, Security.Backdoor.DataExfiltration.Token"
jlog@0.2.1,24,"Security.Backdoor.Obfuscation.LongStrings, Security.Backdoor.DataExfiltration"
json@0.12.4,46,"Security.Backdoor.LOLBAS.Windows, Security.Backdoor.Obfuscation.LongStrings, Security.Backdoor.Obfuscation.LongBinaryStrings, Security.Backdoor.ExecuteObfuscatedCode, Security.Backdoor.LOLBAS.Linux, Security.Backdoor.DataExfiltration"
kserde@0.1.0,8,"Security.Backdoor.LOLBAS.Linux, Security.Backdoor.Obfuscation.LongStrings, Security.Backdoor.LOLBAS.Windows, Security.Backdoor.DataExfiltration"
language-tag@0.9.0,2,Security.Backdoor.LOLBAS.Linux
language@0.0.0,2,"Security.Backdoor.LOLBAS.Linux, Security.Backdoor.Obfuscation.LongStrings"
lazy@0.5.3,5,Security.Backdoor.DataExfiltration
lc@0.3.0,153,"Security.Backdoor.LOLBAS.Linux, Security.Backdoor.Obfuscation.LongStrings, Security.Backdoor.Obfuscation, Security.Backdoor.LOLBAS.Windows"
lib2@0.1.0,2,"Security.Backdoor.Obfuscation.LongStrings, Security.Backdoor.LOLBAS.Windows"
lib@0.0.2,0,
libq@0.1.0,1,Security.Backdoor.Obfuscation.LongStrings
lihc@0.1.2,1,Security.Backdoor.Obfuscation.LongStrings
lime@0.1.0,5,"Security.Backdoor.LOLBAS.Linux, Security.Backdoor.LOLBAS.Windows"
linapi@0.6.0-alpha.0,17,"Security.Backdoor.DataExfiltration.Hostname, Security.Backdoor.LOLBAS.Windows, Security.Backdoor.Obfuscation.LongStrings, Security.Backdoor.LOLBAS.Linux, Security.Backdoor.DataExfiltration"
local@0.1.0,0,
logger@0.4.0,5,"Security.Backdoor.LOLBAS.Linux, Security.Backdoor.LOLBAS.Windows"
lot@0.0.0,1,Security.Backdoor.Obfuscation.LongStrings
lox@0.1.1,74,"Security.Backdoor.LOLBAS.Linux, Security.Backdoor.Obfuscation.LongStrings, Security.Backdoor.LOLBAS.Windows, Security.Backdoor.DataExfiltration"
map@0.0.0,0,
matcher@0.0.2,0,
matchers@0.1.0,4,"Security.Backdoor.LOLBAS.Linux, Security.Backdoor.Obfuscation.LongStrings"
matches2@1.2.1,3,"Security.Backdoor.Obfuscation.LongStrings, Security.Backdoor.DataExfiltration"
meow@0.2.2,25,Security.Backdoor.Obfuscation.LongStrings
mhrono@0.1.0,37,"Security.Backdoor.LOLBAS.Linux, Security.Backdoor.Obfuscation.LongStrings, Security.Backdoor.LOLBAS.Windows, Security.Backdoor.DataExfiltration"
mice@0.11.1,66,"Security.Backdoor.LOLBAS.Linux, Security.Backdoor.Obfuscation.LongStrings, Security.Backdoor.LOLBAS.Windows, Security.Backdoor.DataExfiltration"
mimd@0.0.0,0,
mimo@0.1.0,1,Security.Backdoor.Obfuscation.LongStrings
min@0.1.0,1,Security.Backdoor.LOLBAS.Windows
mio@0.8.9,77,"Security.Backdoor.DataExfiltration.Environment, Security.Backdoor.LOLBAS.Windows, Security.Backdoor.Obfuscation.LongStrings, Security.Backdoor.LOLBAS.Linux, Security.Backdoor.DataExfiltration"
movec@0.0.0,0,
mow@0.1.0,1,Security.Backdoor.Obfuscation.LongStrings
mquote@0.1.0,11,"Security.Backdoor.LOLBAS.Linux, Security.Backdoor.Obfuscation.LongStrings, Security.Backdoor.LOLBAS.Windows"
muid@0.1.11,0,
myu@0.1.0,2,"Security.Backdoor.Obfuscation.LongStrings, Security.Backdoor.LOLBAS.Windows"
nbytes@0.1.0,4,"Security.Backdoor.LOLBAS.Linux, Security.Backdoor.Obfuscation.LongStrings, Security.Backdoor.LOLBAS.Windows"
net@0.1.0,1,Security.Backdoor.LOLBAS.Windows
netr@0.1.6,9,"Security.Backdoor.LOLBAS.Linux, Security.Backdoor.Obfuscation.LongStrings, Security.Backdoor.LOLBAS.Windows, Security.Backdoor.DataExfiltration"
nets@0.1.5,0,
netx@0.0.1,0,
nim@0.1.0,1,Security.Backdoor.LOLBAS.Windows
nog@0.1.0,37,"Security.Backdoor.LOLBAS.Linux, Security.Backdoor.Obfuscation.LongStrings, Security.Backdoor.Obfuscation, Security.Backdoor.LOLBAS.Windows"
noo@0.1.0,1,Security.Backdoor.Obfuscation.LongStrings
noq@0.1.0,1,Security.Backdoor.LOLBAS.Windows
nox@0.0.0,0,
nu@0.87.1,0,
nuid@0.5.0,7,"Security.Backdoor.LOLBAS.Linux, Security.Backdoor.Obfuscation.LongStrings, Security.Backdoor.LOLBAS.Windows"
num@0.4.1,7,"Security.Backdoor.LOLBAS.Linux, Security.Backdoor.Obfuscation.LongStrings, Security.Backdoor.LOLBAS.Windows"
numtraits@0.0.1,0,
num_cpu@1.14.0,1,Security.Backdoor.LOLBAS.Windows
nuo@0.1.0,1,Security.Backdoor.LOLBAS.Windows
